loan_id,payment_amount,payment_date,missed
10687,793,2001-11-12 00:00:00,1
10687,803,2001-12-29 00:00:00,1
10687,798,2002-02-05 00:00:00,0
10687,477,2002-03-12 00:00:00,1
10687,742,2002-04-27 00:00:00,1
11826,1390,2001-11-01 00:00:00,1
11826,1188,2001-11-24 00:00:00,0
11826,1272,2002-01-12 00:00:00,1
11826,1423,2002-02-09 00:00:00,0
11826,1629,2002-03-15 00:00:00,0
11826,1836,2002-03-25 00:00:00,1
11826,1401,2002-05-07 00:00:00,0
10763,764,2001-06-01 00:00:00,1
10763,890,2001-07-02 00:00:00,0
10763,1104,2001-08-12 00:00:00,1
10763,749,2001-09-16 00:00:00,1
10763,981,2001-10-24 00:00:00,0
10763,844,2001-11-04 00:00:00,1
10763,722,2001-11-29 00:00:00,1
11847,940,2000-08-09 00:00:00,0
11847,543,2000-08-27 00:00:00,1
11847,618,2000-09-22 00:00:00,0
11847,672,2000-10-21 00:00:00,0
11847,926,2000-11-29 00:00:00,1
11847,956,2001-01-08 00:00:00,0
11847,844,2001-02-05 00:00:00,1
11847,657,2001-02-16 00:00:00,1
11847,692,2001-03-05 00:00:00,0
11510,480,2008-05-10 00:00:00,1
11510,632,2008-06-26 00:00:00,0
11510,761,2008-08-10 00:00:00,0
11510,842,2008-08-27 00:00:00,0
11510,750,2008-09-23 00:00:00,0
11526,904,2005-09-30 00:00:00,1
11526,998,2005-11-10 00:00:00,1
11526,952,2005-12-16 00:00:00,1
11526,915,2005-12-27 00:00:00,0
11526,690,2006-02-09 00:00:00,1
11526,961,2006-03-13 00:00:00,1
11526,788,2006-04-15 00:00:00,1
11526,764,2006-05-10 00:00:00,0
11254,1318,2002-05-26 00:00:00,1
11254,1549,2002-06-14 00:00:00,0
11254,1863,2002-07-23 00:00:00,0
11254,1622,2002-08-27 00:00:00,1
11254,1120,2002-10-11 00:00:00,1
11254,1249,2002-11-06 00:00:00,1
11382,292,2005-01-26 00:00:00,0
11382,355,2005-02-06 00:00:00,0
11382,341,2005-02-28 00:00:00,1
11382,375,2005-04-12 00:00:00,1
11382,405,2005-04-30 00:00:00,0
11651,1220,2015-01-24 00:00:00,0
11651,1572,2015-03-06 00:00:00,0
11651,1623,2015-04-09 00:00:00,0
11651,1676,2015-05-26 00:00:00,0
11651,1034,2015-06-26 00:00:00,0
11651,1048,2015-07-24 00:00:00,1
11651,1625,2015-08-30 00:00:00,0
11651,1409,2015-09-16 00:00:00,1
10413,2084,2002-06-03 00:00:00,1
10413,2143,2002-07-09 00:00:00,0
10413,1671,2002-07-23 00:00:00,0
10413,1974,2002-08-19 00:00:00,0
10413,1610,2002-10-06 00:00:00,0
10413,1668,2002-11-04 00:00:00,1
10413,1577,2002-12-17 00:00:00,1
